"table_schema","table_name","column_name","data_type","character_maximum_length","is_nullable","column_default"
"public","fixtures","code","bigint",,"YES",
"public","fixtures","event","bigint",,"YES",
"public","fixtures","finished","boolean",,"YES",
"public","fixtures","finished_provisional","boolean",,"YES",
"public","fixtures","id","bigint",,"YES",
"public","fixtures","kickoff_time","text",,"YES",
"public","fixtures","minutes","bigint",,"YES",
"public","fixtures","provisional_start_time","boolean",,"YES",
"public","fixtures","started","boolean",,"YES",
"public","fixtures","team_a","bigint",,"YES",
"public","fixtures","team_a_score","text",,"YES",
"public","fixtures","team_h","bigint",,"YES",
"public","fixtures","team_h_score","text",,"YES",
"public","fixtures","stats","text",,"YES",
"public","fixtures","team_h_difficulty","bigint",,"YES",
"public","fixtures","team_a_difficulty","bigint",,"YES",
"public","fixtures","pulse_id","bigint",,"YES",
"public","gameweeks","id","bigint",,"YES",
"public","gameweeks","name","text",,"YES",
"public","gameweeks","deadline_time","text",,"YES",
"public","gameweeks","finished","boolean",,"YES",
"public","gameweeks","is_previous","boolean",,"YES",
"public","gameweeks","is_current","boolean",,"YES",
"public","gameweeks","is_next","boolean",,"YES",
"public","player_history","element","bigint",,"YES",
"public","player_history","fixture","bigint",,"YES",
"public","player_history","opponent_team","bigint",,"YES",
"public","player_history","total_points","bigint",,"YES",
"public","player_history","was_home","boolean",,"YES",
"public","player_history","kickoff_time","text",,"YES",
"public","player_history","team_h_score","bigint",,"YES",
"public","player_history","team_a_score","bigint",,"YES",
"public","player_history","round","bigint",,"YES",
"public","player_history","modified","boolean",,"YES",
"public","player_history","minutes","bigint",,"YES",
"public","player_history","goals_scored","bigint",,"YES",
"public","player_history","assists","bigint",,"YES",
"public","player_history","clean_sheets","bigint",,"YES",
"public","player_history","goals_conceded","bigint",,"YES",
"public","player_history","own_goals","bigint",,"YES",
"public","player_history","penalties_saved","bigint",,"YES",
"public","player_history","penalties_missed","bigint",,"YES",
"public","player_history","yellow_cards","bigint",,"YES",
"public","player_history","red_cards","bigint",,"YES",
"public","player_history","saves","bigint",,"YES",
"public","player_history","bonus","bigint",,"YES",
"public","player_history","bps","bigint",,"YES",
"public","player_history","influence","text",,"YES",
"public","player_history","creativity","text",,"YES",
"public","player_history","threat","text",,"YES",
"public","player_history","ict_index","text",,"YES",
"public","player_history","clearances_blocks_interceptions","bigint",,"YES",
"public","player_history","recoveries","bigint",,"YES",
"public","player_history","tackles","bigint",,"YES",
"public","player_history","defensive_contribution","bigint",,"YES",
"public","player_history","starts","bigint",,"YES",
"public","player_history","expected_goals","text",,"YES",
"public","player_history","expected_assists","text",,"YES",
"public","player_history","expected_goal_involvements","text",,"YES",
"public","player_history","expected_goals_conceded","text",,"YES",
"public","player_history","value","bigint",,"YES",
"public","player_history","transfers_balance","bigint",,"YES",
"public","player_history","selected","bigint",,"YES",
"public","player_history","transfers_in","bigint",,"YES",
"public","player_history","transfers_out","bigint",,"YES",
"public","player_types","id","bigint",,"YES",
"public","player_types","plural_name","text",,"YES",
"public","player_types","plural_name_short","text",,"YES",
"public","player_types","singular_name","text",,"YES",
"public","player_types","singular_name_short","text",,"YES",
"public","player_types","squad_select","bigint",,"YES",
"public","player_types","squad_min_select","text",,"YES",
"public","player_types","squad_max_select","text",,"YES",
"public","player_types","squad_min_play","bigint",,"YES",
"public","player_types","squad_max_play","bigint",,"YES",
"public","player_types","ui_shirt_specific","boolean",,"YES",
"public","player_types","sub_positions_locked","text",,"YES",
"public","player_types","element_count","bigint",,"YES",
"public","players","id","bigint",,"YES",
"public","players","Nombre","text",,"YES",
"public","players","Apellido","text",,"YES",
"public","players","team_id","bigint",,"YES",
"public","players","Posicion","text",,"YES",
"public","players","Precio","bigint",,"YES",
"public","players","Puntos Totales","bigint",,"YES",
"public","players","tendencia","bigint",,"YES",
"public","teams","code","bigint",,"YES",
"public","teams","draw","bigint",,"YES",
"public","teams","form","text",,"YES",
"public","teams","id","bigint",,"YES",
"public","teams","loss","bigint",,"YES",
"public","teams","name","text",,"YES",
"public","teams","played","bigint",,"YES",
"public","teams","points","bigint",,"YES",
"public","teams","position","bigint",,"YES",
"public","teams","short_name","text",,"YES",
"public","teams","strength","bigint",,"YES",
"public","teams","team_division","text",,"YES",
"public","teams","unavailable","boolean",,"YES",
"public","teams","win","bigint",,"YES",
"public","teams","strength_overall_home","bigint",,"YES",
"public","teams","strength_overall_away","bigint",,"YES",
"public","teams","strength_attack_home","bigint",,"YES",
"public","teams","strength_attack_away","bigint",,"YES",
"public","teams","strength_defence_home","bigint",,"YES",
"public","teams","strength_defence_away","bigint",,"YES",
"public","teams","pulse_id","bigint",,"YES",
