id,name,deadline_time,finished,is_previous,is_current,is_next
1,Gameweek 1,2025-01-01 17:30:00,True,False,False,False
2,Gameweek 2,2025-01-06 20:00:00,True,False,False,False
3,Gameweek 3,2025-01-14 19:30:00,True,False,False,False
4,Gameweek 4,2025-01-20 20:00:00,True,False,False,False
5,Gameweek 5,2025-02-01 12:30:00,True,False,False,False
6,Gameweek 6,2025-02-03 20:00:00,True,False,False,False
7,Gameweek 7,2025-02-12 19:30:00,True,False,False,False
8,Gameweek 8,2025-02-19 19:30:00,True,False,False,False
9,Gameweek 9,2025-02-25 19:30:00,True,False,False,False
10,Gameweek 10,2025-03-08 12:30:00,True,False,False,False
11,Gameweek 11,2025-03-10 20:00:00,True,False,False,False
14,Gameweek 14,2025-04-01 19:45:00,True,False,False,False
15,Gameweek 15,2025-04-07 20:00:00,True,False,False,False
16,Gameweek 16,2025-04-14 20:00:00,True,False,False,False
17,Gameweek 17,2025-04-21 20:00:00,True,False,False,False
18,Gameweek 18,2025-05-01 19:30:00,True,False,False,False
19,Gameweek 19,2025-05-05 20:00:00,True,False,False,False
20,Gameweek 20,2025-05-16 19:30:00,True,False,False,False
21,Gameweek 21,2025-05-19 20:00:00,True,False,False,False
33,Gameweek 33,2024-08-16 20:00:00,True,False,False,False
34,Gameweek 34,2024-08-19 20:00:00,True,False,False,False
35,Gameweek 35,2024-08-31 12:30:00,True,False,False,False
37,Gameweek 37,2024-09-14 12:30:00,True,False,False,False
38,Gameweek 38,2024-09-21 12:30:00,True,False,False,False
39,Gameweek 39,2024-09-28 12:30:00,True,False,False,False
40,Gameweek 40,2024-09-30 20:00:00,True,False,False,False
42,Gameweek 42,2024-10-19 12:30:00,True,False,False,False
43,Gameweek 43,2024-10-21 20:00:00,True,False,False,False
